[25, 0.8, 0.1, [1, 3]]
0;[3, 115];[3, 134];[3, 46];[101, 3040];[3, 52];[3, 52];[3, 16];[3, 96];[3, 62];[3, 48];[3, 231];[3, 129];[3, 46];[3, 212];[3, 104];[3, 23];[3, 103];[129, 3882];[3, 147];[3, 284];[3, 223];[3, 51];[3, 188];[3, 39];[3, 55];
1;[3, 78];[3, 147];[3, 46];[101, 3042];[3, 52];[3, 92];[3, 16];[3, 96];[3, 75];[3, 48];[129, 4324];[59, 1932];[3, 46];[3, 212];[3, 116];[3, 23];[3, 223];[129, 3882];[3, 147];[3, 261];[3, 141];[3, 51];[3, 25];[3, 39];[3, 33];
2;[3, 78];[3, 147];[3, 46];[101, 3042];[3, 52];[3, 92];[3, 16];[3, 48];[3, 69];[3, 180];[129, 4324];[59, 1981];[3, 46];[3, 86];[103, 2769];[3, 23];[3, 223];[129, 3882];[3, 186];[3, 284];[3, 276];[3, 51];[3, 25];[3, 39];[3, 33];
3;[122, 3104];[3, 147];[3, 46];[101, 3042];[3, 56];[3, 157];[3, 20];[3, 48];[3, 69];[3, 71];[129, 4373];[59, 1981];[3, 90];[3, 94];[193, 5305];[3, 23];[3, 208];[129, 3882];[3, 186];[3, 284];[3, 246];[3, 51];[3, 21];[3, 39];[3, 25];
4;[122, 3155];[3, 69];[3, 68];[101, 3042];[3, 173];[3, 157];[3, 20];[3, 175];[3, 69];[3, 71];[129, 4364];[59, 2003];[3, 90];[3, 94];[193, 5305];[3, 23];[3, 212];[227, 6061];[3, 23];[3, 284];[3, 246];[3, 51];[3, 21];[3, 39];[3, 47];
5;[122, 3155];[3, 69];[3, 68];[101, 3042];[3, 138];[3, 257];[3, 20];[3, 175];[3, 69];[3, 113];[194, 6560];[59, 2003];[3, 108];[3, 94];[193, 5322];[3, 11];[3, 114];[227, 6061];[3, 23];[3, 217];[3, 83];[3, 51];[3, 21];[3, 51];[3, 47];
6;[122, 2988];[3, 69];[3, 68];[101, 3011];[3, 138];[3, 435];[3, 20];[3, 86];[83, 2277];[3, 113];[194, 6875];[149, 4881];[3, 14];[3, 29];[193, 5322];[3, 11];[3, 82];[227, 6069];[3, 23];[3, 217];[3, 83];[3, 51];[3, 21];[3, 51];[3, 47];
7;[122, 2988];[3, 176];[3, 68];[101, 3034];[3, 64];[3, 308];[3, 20];[3, 86];[83, 2303];[3, 113];[194, 6336];[149, 5259];[3, 14];[3, 29];[193, 5322];[3, 11];[3, 61];[227, 6069];[3, 32];[3, 328];[3, 83];[3, 51];[3, 21];[3, 31];[3, 47];
8;[122, 3089];[3, 176];[3, 68];[101, 2984];[3, 296];[3, 228];[3, 20];[3, 86];[83, 2303];[3, 34];[194, 6336];[149, 5259];[3, 107];[3, 61];[193, 5322];[3, 16];[3, 76];[227, 6060];[3, 133];[3, 117];[3, 47];[3, 75];[3, 21];[3, 29];[3, 47];
9;[122, 3089];[76, 2580];[3, 68];[101, 2936];[104, 2873];[3, 228];[3, 20];[3, 86];[83, 2359];[3, 34];[194, 6336];[149, 5264];[3, 107];[53, 1230];[265, 7145];[3, 16];[3, 55];[227, 6060];[3, 141];[3, 214];[3, 47];[3, 75];[3, 21];[3, 29];[3, 47];
10;[122, 3089];[76, 2580];[3, 138];[101, 2936];[104, 2873];[3, 209];[3, 24];[3, 117];[83, 2317];[3, 29];[194, 6336];[149, 5264];[3, 107];[53, 1230];[265, 7145];[3, 16];[3, 55];[227, 6060];[3, 22];[3, 109];[3, 142];[3, 91];[3, 21];[3, 29];[58, 2923];
11;[122, 3089];[76, 2688];[3, 274];[101, 2836];[104, 2885];[3, 51];[3, 24];[101, 2985];[83, 2317];[3, 29];[194, 6336];[149, 5271];[55, 1934];[53, 1230];[265, 7129];[3, 16];[98, 2362];[227, 6060];[3, 22];[3, 109];[3, 133];[3, 91];[3, 128];[3, 29];[196, 6601];
12;[122, 3089];[76, 2641];[3, 283];[101, 2885];[104, 2895];[3, 164];[3, 24];[101, 2985];[83, 2278];[3, 29];[194, 6336];[149, 5271];[55, 1934];[162, 3865];[265, 7148];[3, 41];[98, 2362];[227, 6060];[3, 22];[3, 109];[3, 133];[3, 58];[3, 94];[81, 2837];[196, 6650];
13;[122, 3089];[76, 2641];[3, 137];[101, 2885];[104, 2895];[3, 164];[3, 40];[101, 3029];[83, 2278];[3, 35];[194, 6333];[149, 5271];[55, 1937];[162, 3830];[265, 7296];[3, 75];[98, 2362];[227, 6022];[3, 22];[3, 69];[3, 133];[3, 58];[3, 94];[81, 2837];[196, 6650];
