[25, 0.8, 0.1, [1, 3]]
0;[3, 115];[3, 134];[3, 46];[101, 3040];[3, 52];[3, 52];[3, 16];[3, 96];[3, 62];[3, 48];[3, 231];[3, 129];[3, 46];[3, 212];[3, 104];[3, 23];[3, 103];[129, 3882];[3, 147];[3, 284];[3, 223];[3, 51];[3, 188];[3, 39];[3, 55];
14;[122, 3089];[76, 2589];[3, 58];[101, 2960];[104, 2895];[3, 164];[3, 40];[101, 2982];[83, 2278];[3, 40];[194, 6345];[149, 5287];[55, 1937];[300, 8136];[386, 9650];[3, 75];[98, 2362];[227, 6022];[3, 22];[3, 155];[3, 133];[3, 58];[3, 94];[81, 2837];[196, 6737];
15;[122, 3089];[76, 2627];[3, 58];[189, 6004];[104, 2921];[3, 164];[3, 40];[101, 3038];[83, 2278];[3, 86];[194, 6342];[149, 5287];[55, 1937];[300, 8136];[386, 9650];[3, 39];[98, 2362];[227, 5913];[3, 22];[3, 155];[3, 66];[3, 20];[3, 95];[81, 2837];[196, 6737];
16;[122, 3089];[76, 2575];[3, 151];[189, 5964];[104, 2921];[3, 69];[3, 40];[101, 3038];[83, 2278];[3, 86];[194, 6478];[149, 5320];[55, 1994];[300, 8099];[386, 9513];[3, 39];[226, 6960];[227, 5913];[3, 80];[3, 155];[3, 66];[3, 20];[3, 125];[81, 2837];[196, 6737];
17;[122, 3027];[76, 2575];[145, 4217];[189, 5964];[104, 2921];[79, 2132];[3, 42];[101, 3038];[83, 2278];[3, 86];[194, 6485];[226, 6902];[55, 1928];[300, 8099];[386, 9513];[3, 49];[226, 6973];[227, 5913];[3, 80];[3, 155];[3, 66];[3, 20];[3, 125];[175, 5620];[196, 6737];
18;[122, 3027];[130, 3685];[145, 4217];[189, 5964];[104, 2921];[79, 2132];[3, 42];[101, 3038];[83, 2278];[3, 63];[194, 6485];[226, 6936];[110, 3404];[300, 8099];[386, 9729];[85, 1743];[226, 6973];[227, 5913];[3, 80];[3, 114];[3, 66];[3, 20];[3, 65];[175, 5551];[196, 6737];
19;[122, 3214];[130, 3685];[145, 4218];[273, 7462];[104, 2921];[79, 2132];[3, 42];[101, 3017];[83, 2316];[3, 63];[194, 6485];[226, 6936];[110, 3404];[300, 8095];[386, 9729];[85, 1743];[226, 6973];[227, 5938];[3, 91];[3, 111];[3, 66];[3, 40];[3, 138];[273, 7891];[286, 8421];
20;[122, 3214];[130, 3685];[145, 4218];[273, 7462];[104, 2921];[79, 2155];[3, 42];[101, 3017];[83, 2408];[3, 85];[194, 6499];[226, 6936];[110, 3404];[300, 8105];[386, 9713];[85, 1743];[226, 6780];[227, 5938];[3, 91];[3, 111];[3, 66];[59, 1685];[3, 138];[273, 7891];[286, 8421];
21;[122, 3242];[130, 3812];[145, 4218];[273, 7462];[104, 2921];[79, 2218];[3, 42];[101, 2966];[83, 2384];[3, 85];[194, 6556];[226, 6751];[110, 3404];[300, 8118];[386, 9713];[85, 1743];[226, 6780];[227, 5938];[3, 88];[3, 28];[57, 2101];[59, 1685];[83, 1950];[273, 7955];[286, 8421];
22;[122, 3242];[130, 3736];[145, 3674];[273, 7462];[104, 3063];[79, 2272];[3, 47];[101, 3348];[83, 2384];[88, 3630];[194, 6508];[226, 6711];[110, 3404];[405, 10313];[386, 9713];[85, 1743];[226, 6788];[227, 5938];[3, 88];[3, 28];[57, 2101];[59, 1685];[83, 1950];[273, 7955];[286, 8421];
23;[122, 3258];[130, 3740];[145, 3674];[273, 7462];[104, 3063];[79, 2272];[3, 47];[101, 3348];[83, 2384];[88, 3630];[272, 8153];[327, 9107];[110, 3404];[405, 10313];[386, 9703];[85, 1743];[226, 6788];[227, 5938];[3, 115];[3, 54];[57, 2088];[59, 1665];[83, 1950];[273, 7958];[385, 10336];
24;[122, 3258];[130, 3769];[145, 3674];[273, 7462];[104, 3063];[79, 2282];[3, 47];[101, 3336];[83, 2576];[88, 3630];[272, 7966];[327, 9010];[110, 3404];[469, 11909];[448, 10986];[85, 1743];[338, 9092];[227, 5920];[3, 115];[3, 46];[57, 2091];[59, 1665];[83, 1950];[273, 7946];[385, 10336];
25;[122, 3196];[130, 3784];[145, 3674];[273, 7462];[104, 3063];[79, 2251];[3, 47];[101, 3336];[83, 2589];[88, 3615];[272, 7966];[475, 13453];[110, 3430];[469, 11909];[500, 12157];[85, 1743];[338, 9092];[227, 5922];[3, 116];[3, 130];[57, 2111];[59, 1665];[83, 1950];[273, 7818];[385, 10336];
26;[122, 3196];[130, 3784];[145, 3674];[273, 7413];[104, 3076];[219, 5804];[3, 33];[101, 3336];[83, 2589];[88, 3663];[272, 7966];[475, 13453];[161, 4946];[469, 11909];[646, 14644];[85, 1743];[338, 8973];[227, 5920];[3, 116];[3, 157];[57, 2111];[59, 1654];[83, 2040];[273, 7772];[385, 10336];
27;[190, 5254];[130, 3784];[145, 3674];[273, 7424];[158, 4725];[219, 5804];[3, 33];[207, 5899];[83, 2589];[88, 3703];[272, 7966];[475, 13431];[161, 4960];[469, 11909];[646, 14644];[85, 1747];[338, 8973];[227, 5920];[3, 108];[3, 157];[57, 1852];[59, 1672];[83, 2040];[273, 7736];[385, 10336];
28;[190, 5254];[130, 3784];[145, 3674];[273, 7432];[158, 4732];[219, 5804];[3, 51];[207, 5895];[83, 2510];[88, 3702];[272, 7965];[543, 14867];[161, 4960];[469, 11909];[646, 14644];[172, 3516];[338, 8973];[227, 5892];[3, 108];[3, 141];[57, 1852];[59, 1672];[83, 1952];[273, 7721];[385, 10336];
29;[190, 5282];[130, 3704];[145, 3674];[273, 7341];[251, 7208];[219, 5804];[3, 82];[207, 5895];[83, 2510];[88, 3642];[272, 7968];[635, 16122];[161, 4724];[469, 11909];[646, 14644];[172, 3516];[338, 8973];[227, 5892];[3, 81];[3, 141];[57, 2225];[59, 1868];[83, 1926];[273, 7721];[491, 13274];
30;[190, 5089];[130, 3704];[145, 3674];[273, 7341];[251, 7213];[219, 5806];[3, 96];[207, 5895];[224, 6050];[88, 3731];[272, 7964];[635, 16136];[161, 4763];[469, 11909];[646, 14644];[172, 3516];[338, 8973];[227, 5892];[3, 160];[3, 52];[57, 2225];[59, 1768];[156, 4422];[273, 7717];[491, 13274];
31;[190, 5089];[130, 3678];[145, 3674];[273, 7341];[251, 7213];[219, 5854];[3, 76];[279, 7739];[224, 6050];[88, 3731];[272, 7964];[635, 16057];[161, 4761];[469, 11909];[646, 14669];[172, 3506];[338, 8973];[227, 5884];[3, 160];[3, 79];[57, 2225];[59, 1768];[156, 4565];[273, 7711];[491, 13274];
32;[255, 6591];[130, 3917];[145, 3634];[365, 9882];[251, 7286];[219, 5854];[3, 221];[279, 7739];[224, 6008];[88, 3798];[272, 7986];[635, 16057];[161, 4761];[469, 11909];[646, 14552];[172, 3537];[338, 8973];[342, 8995];[3, 147];[3, 79];[57, 2225];[59, 1768];[156, 4589];[273, 7711];[491, 13274];
33;[255, 6695];[220, 6592];[145, 3634];[365, 9882];[251, 7286];[219, 5854];[3, 221];[363, 9489];[224, 6065];[88, 3823];[272, 7986];[717, 17433];[161, 4761];[469, 11909];[646, 14546];[172, 3537];[338, 9011];[342, 8995];[3, 147];[3, 79];[57, 2119];[59, 1768];[156, 4525];[273, 7711];[491, 13274];
34;[255, 6717];[220, 6592];[145, 3634];[365, 9882];[251, 7237];[219, 5854];[3, 89];[363, 9491];[224, 6182];[88, 3823];[272, 7986];[846, 18890];[161, 4761];[469, 11909];[646, 14593];[304, 7938];[338, 9118];[342, 8846];[3, 88];[3, 79];[143, 4147];[59, 1768];[156, 4556];[273, 7711];[491, 13274];
35;[255, 6717];[220, 6590];[215, 5130];[365, 9883];[251, 7237];[219, 5908];[3, 39];[363, 9491];[224, 6184];[88, 3823];[407, 10694];[846, 18890];[161, 4761];[469, 11909];[646, 14593];[304, 7938];[338, 9073];[342, 8831];[3, 88];[3, 37];[143, 4147];[59, 1760];[156, 4593];[273, 7711];[491, 13301];
36;[255, 6805];[220, 6590];[215, 5130];[365, 9883];[251, 7237];[219, 5908];[3, 36];[363, 9491];[224, 5961];[88, 3693];[407, 10663];[846, 18890];[161, 4761];[469, 11886];[646, 14593];[304, 8064];[484, 11715];[342, 8831];[3, 88];[3, 37];[143, 4147];[59, 1641];[156, 4593];[273, 7711];[491, 13301];
37;[255, 6761];[220, 6590];[215, 5130];[365, 9883];[251, 7227];[219, 5934];[139, 4606];[363, 9364];[224, 5965];[88, 3693];[407, 10725];[846, 18890];[161, 4761];[469, 11926];[646, 14599];[304, 8119];[484, 11715];[342, 8808];[3, 88];[3, 37];[143, 4142];[59, 1641];[156, 4559];[273, 7711];[491, 13355];
38;[255, 6743];[220, 6593];[215, 5200];[365, 9834];[251, 7239];[219, 5765];[139, 4606];[363, 9370];[224, 5965];[88, 3727];[407, 10687];[846, 18885];[161, 4761];[469, 11721];[646, 14921];[304, 8119];[484, 11715];[342, 8818];[3, 88];[3, 97];[143, 4142];[59, 1641];[156, 4559];[273, 7711];[491, 13355];
39;[255, 6743];[220, 6634];[281, 6825];[365, 9893];[251, 7239];[219, 5765];[139, 4606];[363, 9369];[224, 5965];[88, 3727];[407, 10687];[846, 18885];[161, 4708];[469, 11721];[646, 14921];[304, 8119];[484, 11715];[342, 8849];[3, 88];[3, 109];[143, 4142];[59, 1607];[156, 4516];[273, 7743];[491, 13355];
40;[255, 6735];[271, 8085];[281, 6825];[365, 9893];[251, 7188];[219, 5764];[139, 4606];[363, 9274];[224, 5996];[88, 3773];[407, 10687];[846, 18885];[161, 4684];[469, 11721];[646, 14921];[304, 8215];[484, 11715];[417, 10564];[3, 88];[3, 109];[143, 4142];[59, 1605];[156, 4516];[273, 7743];[491, 13355];
41;[255, 6735];[271, 8063];[281, 6825];[365, 9893];[251, 7204];[219, 5764];[139, 4706];[363, 9274];[224, 5996];[88, 3773];[407, 10687];[846, 18882];[161, 4713];[469, 11670];[646, 14921];[304, 8213];[484, 11715];[417, 10564];[3, 121];[3, 109];[143, 4041];[59, 1605];[156, 4516];[399, 10525];[491, 13352];
42;[255, 6735];[271, 8100];[281, 6825];[365, 9893];[251, 7186];[219, 5764];[139, 4706];[363, 9246];[224, 5900];[88, 3766];[407, 10687];[986, 21700];[161, 4717];[469, 11671];[646, 14955];[304, 8186];[484, 11715];[417, 10564];[3, 121];[3, 109];[143, 4168];[59, 1573];[156, 4516];[399, 10538];[491, 13352];
43;[255, 6735];[271, 8100];[280, 6813];[365, 9890];[251, 7186];[219, 5764];[139, 4706];[363, 9256];[224, 5864];[88, 3747];[407, 10675];[986, 21696];[161, 4717];[469, 11660];[646, 15021];[304, 8186];[484, 11751];[417, 10570];[3, 25];[3, 109];[143, 4168];[59, 1573];[156, 4516];[482, 12216];[491, 13352];
44;[255, 6735];[271, 8080];[280, 6813];[365, 9977];[251, 7186];[219, 5764];[139, 4706];[363, 9256];[224, 5864];[168, 6185];[407, 10618];[986, 21696];[291, 7588];[469, 11660];[646, 15021];[304, 8186];[484, 11751];[417, 10570];[3, 25];[3, 160];[143, 4136];[59, 1573];[276, 6970];[482, 12239];[491, 13352];
45;[255, 6735];[338, 9859];[280, 6813];[365, 9938];[251, 7186];[219, 5764];[139, 4756];[363, 9256];[224, 5899];[168, 6215];[407, 10618];[1057, 22522];[291, 7560];[469, 11780];[646, 15019];[304, 8186];[484, 11751];[417, 10570];[3, 20];[114, 3932];[143, 4049];[59, 1573];[276, 6970];[591, 14368];[491, 13349];
46;[389, 9128];[338, 9859];[280, 6791];[365, 9938];[251, 7161];[277, 7116];[221, 7011];[363, 9256];[224, 5899];[168, 6215];[407, 10618];[1057, 22522];[291, 7639];[469, 11780];[646, 15019];[304, 8186];[484, 11754];[417, 10570];[3, 20];[114, 3931];[143, 4124];[59, 1573];[276, 6949];[674, 16054];[491, 13334];
47;[389, 9115];[338, 9860];[280, 6791];[365, 9938];[251, 7161];[277, 7170];[221, 7011];[363, 9256];[224, 5842];[168, 6228];[407, 10618];[1152, 23649];[426, 10309];[469, 11780];[646, 15033];[304, 8186];[538, 12538];[417, 10579];[3, 20];[114, 3931];[143, 4112];[59, 1573];[276, 6949];[674, 16054];[491, 13334];
48;[389, 9115];[338, 9860];[280, 6791];[491, 12171];[251, 7161];[277, 7170];[221, 7106];[363, 9256];[224, 5829];[168, 6228];[407, 10602];[1152, 23627];[426, 10308];[469, 11778];[646, 15069];[304, 8186];[538, 12538];[417, 10579];[3, 20];[114, 3890];[143, 4127];[59, 1579];[384, 9363];[674, 16054];[491, 13334];
49;[461, 10245];[338, 9843];[280, 6791];[491, 12171];[251, 7167];[277, 7170];[221, 7119];[363, 9253];[224, 5829];[168, 6228];[407, 10602];[1249, 24843];[426, 10308];[469, 11747];[646, 15069];[392, 9694];[538, 12538];[417, 10579];[3, 20];[114, 3897];[143, 4127];[118, 3489];[384, 9366];[674, 16054];[491, 13334];
50;[461, 10245];[338, 9825];[280, 6841];[491, 12112];[251, 7135];[277, 7170];[221, 7132];[363, 9251];[224, 5829];[168, 6307];[407, 10688];[1249, 24843];[426, 10308];[469, 11747];[646, 15069];[392, 9694];[538, 12527];[417, 10579];[3, 99];[114, 3897];[143, 4127];[118, 3489];[384, 9342];[674, 16042];[491, 13334];
51;[461, 10245];[459, 11971];[280, 6841];[491, 12112];[251, 7113];[349, 8183];[221, 7153];[363, 9251];[224, 5829];[168, 6307];[407, 10741];[1249, 24838];[426, 10314];[469, 11747];[646, 15054];[392, 9706];[649, 14173];[417, 10579];[3, 99];[114, 3897];[143, 4085];[118, 3492];[384, 9342];[674, 15961];[491, 13174];
52;[461, 10245];[459, 11959];[280, 6841];[491, 12137];[251, 7113];[349, 8218];[221, 7024];[363, 9299];[224, 5829];[168, 6307];[407, 10741];[1249, 24838];[426, 10432];[469, 11750];[646, 15054];[392, 9706];[722, 16148];[417, 10736];[3, 99];[114, 3859];[143, 4085];[118, 3492];[384, 9405];[674, 15961];[491, 13174];
53;[461, 10317];[459, 11867];[280, 6841];[491, 12137];[251, 7113];[349, 8216];[221, 7024];[363, 9299];[224, 5829];[168, 6307];[407, 10741];[1249, 24838];[426, 10442];[469, 11713];[646, 15054];[392, 9706];[722, 16139];[417, 10736];[3, 99];[114, 3871];[143, 4085];[118, 3484];[384, 9404];[674, 15961];[491, 13174];
54;[461, 10317];[459, 11804];[280, 6841];[491, 12137];[251, 7113];[349, 8216];[221, 7024];[363, 9299];[224, 5829];[309, 9882];[407, 10544];[1249, 24838];[426, 10442];[469, 11713];[646, 15054];[392, 9604];[722, 16271];[417, 10736];[3, 156];[114, 3788];[143, 4072];[118, 3520];[384, 9394];[674, 15961];[491, 13196];
55;[461, 10317];[459, 11804];[331, 8518];[491, 12139];[251, 7141];[349, 8269];[221, 7024];[363, 9299];[224, 5732];[309, 9882];[407, 10544];[1249, 24883];[426, 10442];[469, 11713];[646, 15054];[392, 9604];[722, 16301];[417, 10736];[3, 156];[114, 3788];[143, 4072];[118, 3468];[384, 9394];[674, 15961];[491, 13196];
56;[461, 10298];[459, 11804];[472, 11482];[491, 12139];[338, 9017];[349, 8268];[221, 6933];[363, 9299];[224, 5813];[410, 11950];[407, 10580];[1249, 24883];[426, 10442];[577, 13741];[646, 15054];[392, 9680];[722, 16301];[516, 12649];[3, 156];[114, 3788];[143, 4072];[118, 3472];[384, 9386];[674, 15937];[491, 13196];
57;[461, 10298];[459, 11804];[472, 11482];[491, 12139];[417, 10371];[349, 8268];[221, 6933];[363, 9365];[224, 5813];[410, 11969];[407, 10648];[1249, 24882];[426, 10442];[577, 13741];[646, 15054];[392, 9680];[722, 16254];[516, 12649];[3, 156];[114, 3788];[143, 4128];[118, 3442];[384, 9332];[808, 17673];[491, 13196];
58;[461, 10298];[459, 11804];[472, 11482];[491, 12139];[417, 10371];[402, 9090];[351, 9476];[363, 9352];[224, 5801];[410, 11970];[407, 10638];[1249, 24873];[426, 10442];[577, 13741];[793, 17437];[392, 9707];[722, 16254];[516, 12649];[3, 82];[114, 3854];[143, 4128];[118, 3499];[384, 9332];[808, 17673];[491, 13196];
59;[461, 10298];[459, 12063];[472, 11482];[491, 11988];[417, 10371];[402, 9081];[351, 9439];[363, 9319];[224, 5845];[410, 11952];[407, 10638];[1249, 24873];[426, 10440];[577, 13848];[793, 17437];[392, 9707];[722, 16339];[516, 12649];[3, 82];[114, 3854];[143, 4128];[118, 3522];[485, 11345];[808, 17673];[491, 13196];
60;[461, 10298];[459, 12134];[472, 11548];[491, 11987];[481, 11664];[402, 9083];[351, 9439];[363, 9300];[224, 5881];[410, 11924];[407, 10638];[1249, 24860];[426, 10440];[577, 13848];[793, 17437];[392, 9707];[824, 18188];[516, 12649];[3, 82];[114, 3854];[143, 4128];[245, 6289];[485, 11337];[939, 19902];[491, 13081];
61;[461, 10298];[459, 12134];[472, 11501];[491, 11967];[481, 11712];[402, 9083];[351, 9439];[363, 9300];[224, 5881];[410, 11902];[407, 10703];[1249, 24856];[426, 10569];[577, 13821];[793, 17446];[494, 11836];[824, 18131];[516, 12649];[3, 58];[114, 3850];[143, 4128];[245, 6250];[485, 11337];[939, 19902];[491, 13081];
62;[461, 10338];[459, 12160];[472, 11501];[491, 11967];[481, 11755];[402, 9083];[351, 9439];[363, 9300];[224, 5881];[535, 14449];[407, 10703];[1249, 24856];[426, 10557];[577, 13821];[793, 17446];[494, 11836];[824, 18146];[516, 12652];[146, 6109];[114, 3850];[143, 4143];[364, 9642];[485, 11196];[939, 19902];[491, 13088];
63;[461, 10338];[459, 12154];[472, 11501];[491, 11967];[481, 11781];[463, 10583];[351, 9130];[363, 9300];[224, 5887];[535, 14449];[407, 10593];[1249, 24856];[426, 10579];[713, 16922];[793, 17446];[494, 11799];[824, 18318];[516, 12652];[146, 6055];[114, 3850];[143, 4143];[364, 9642];[602, 13791];[939, 19902];[491, 12911];
64;[461, 10338];[459, 12154];[472, 11492];[491, 12043];[481, 11781];[463, 10583];[351, 9130];[453, 10788];[224, 5887];[594, 15535];[407, 10499];[1249, 24855];[426, 10581];[713, 16922];[793, 17442];[623, 15352];[824, 18324];[516, 12645];[146, 6055];[114, 3914];[143, 4198];[364, 9642];[602, 13791];[939, 19902];[491, 12871];
65;[461, 10338];[459, 12154];[587, 13597];[491, 12043];[481, 11781];[463, 10609];[351, 9130];[453, 10788];[224, 5887];[594, 15561];[407, 10499];[1249, 25092];[426, 10568];[713, 16922];[793, 17442];[623, 15352];[824, 18323];[616, 15457];[213, 7474];[114, 3914];[143, 4098];[364, 9642];[602, 13640];[939, 19893];[491, 12859];
66;[461, 10338];[459, 12044];[732, 15758];[491, 12109];[481, 11781];[463, 10609];[351, 9130];[453, 10788];[224, 5887];[594, 15561];[407, 10499];[1297, 25973];[426, 10532];[713, 16922];[793, 17442];[623, 15352];[824, 18323];[616, 15465];[213, 7480];[114, 3914];[143, 4098];[364, 9642];[664, 14346];[939, 19925];[491, 12861];
67;[461, 10338];[459, 12044];[732, 15758];[491, 12121];[481, 11799];[463, 10609];[351, 9237];[453, 10724];[224, 5896];[594, 15557];[407, 10499];[1297, 25969];[426, 10532];[713, 16911];[793, 17442];[623, 15352];[824, 18350];[616, 15465];[213, 7545];[114, 3832];[143, 4049];[501, 11658];[664, 14347];[939, 19868];[491, 12877];
68;[461, 10344];[459, 12044];[732, 15834];[491, 12121];[481, 11711];[463, 10609];[351, 9237];[453, 10724];[224, 5896];[594, 15532];[407, 10597];[1297, 26019];[426, 10464];[713, 16911];[793, 17442];[623, 15354];[824, 18296];[616, 15465];[213, 7543];[114, 3832];[143, 4066];[501, 11658];[664, 14347];[939, 19861];[491, 12877];
69;[461, 10330];[561, 13570];[732, 15711];[491, 12121];[481, 11711];[463, 10609];[351, 9237];[453, 10724];[224, 5895];[594, 15532];[407, 10597];[1297, 26020];[426, 10449];[713, 16911];[793, 17442];[623, 15330];[824, 18317];[616, 15478];[213, 7543];[114, 3834];[143, 4039];[594, 13116];[664, 14347];[939, 19861];[549, 13910];
70;[461, 10330];[561, 13540];[732, 15711];[491, 12092];[481, 11711];[463, 10609];[351, 9249];[453, 10724];[224, 5913];[594, 15532];[533, 13159];[1297, 26139];[426, 10449];[713, 16933];[793, 17311];[623, 15330];[878, 19603];[616, 15468];[213, 7543];[114, 3834];[143, 4039];[594, 13144];[664, 14269];[939, 19812];[549, 13924];
71;[461, 10330];[561, 13540];[732, 15711];[491, 12128];[481, 11631];[463, 10609];[351, 9249];[453, 10724];[340, 9010];[594, 15532];[533, 13159];[1414, 27801];[426, 10449];[713, 16933];[793, 17311];[623, 15330];[878, 19603];[616, 15468];[213, 7585];[114, 3834];[143, 4092];[594, 12950];[664, 14244];[939, 19812];[549, 13928];
72;[461, 10330];[561, 13502];[732, 15741];[491, 12156];[481, 11631];[463, 10609];[351, 9249];[453, 10724];[340, 9065];[594, 15534];[533, 13159];[1414, 27782];[426, 10449];[713, 16933];[938, 19396];[623, 15295];[878, 19603];[616, 15472];[213, 7600];[114, 3818];[143, 4092];[594, 12973];[664, 14254];[939, 19812];[549, 13928];
73;[461, 10379];[561, 13439];[732, 15919];[491, 12156];[481, 11631];[463, 10609];[351, 9230];[453, 10721];[340, 9065];[737, 18245];[533, 13183];[1414, 27782];[426, 10449];[713, 16933];[938, 19398];[623, 15321];[878, 19603];[616, 15472];[213, 7600];[206, 5929];[143, 4092];[594, 12973];[664, 14254];[939, 19812];[549, 13928];
74;[461, 10379];[561, 13439];[732, 15930];[491, 12132];[481, 11631];[463, 10670];[351, 9230];[453, 10694];[340, 9065];[737, 18250];[533, 13242];[1414, 27792];[426, 10331];[713, 16879];[938, 19398];[623, 15321];[878, 19603];[616, 15459];[213, 7505];[206, 5966];[143, 4092];[594, 12973];[664, 14212];[939, 19812];[549, 13928];
75;[461, 10379];[561, 13450];[732, 15925];[685, 15294];[481, 11631];[463, 10706];[351, 9230];[453, 10694];[340, 9087];[737, 18254];[533, 13224];[1414, 27814];[426, 10311];[713, 16854];[1036, 21057];[623, 15300];[878, 19603];[616, 15459];[213, 7505];[206, 5966];[143, 4082];[594, 12973];[664, 14200];[939, 19844];[549, 13928];
76;[461, 10379];[561, 13450];[732, 15925];[685, 14967];[481, 11631];[552, 12487];[351, 9256];[453, 10694];[340, 9108];[737, 18243];[533, 13251];[1414, 27824];[426, 10305];[713, 16820];[1036, 21069];[623, 15237];[1013, 22211];[616, 15453];[213, 7505];[206, 5966];[143, 4082];[594, 12973];[664, 14200];[939, 19890];[549, 13928];
77;[461, 10460];[561, 13450];[732, 15900];[685, 14964];[481, 11631];[552, 12487];[351, 9217];[453, 10694];[340, 9005];[737, 18243];[533, 13205];[1414, 27824];[426, 10305];[713, 16879];[1036, 21069];[623, 15335];[1133, 23579];[616, 15497];[213, 7505];[206, 5966];[143, 4082];[594, 13059];[664, 14122];[939, 19890];[549, 13703];
78;[461, 10460];[561, 13450];[732, 15875];[685, 14964];[481, 11586];[552, 12487];[351, 9261];[453, 10694];[340, 9005];[737, 18243];[533, 13193];[1414, 27824];[426, 10285];[713, 16839];[1036, 21049];[623, 15335];[1233, 25437];[616, 15538];[213, 7505];[206, 5966];[143, 4050];[594, 13059];[664, 14122];[939, 19890];[549, 13703];
